file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\Exceptions\Student.java,onlyTests.Exceptions.Student,class,0,4,4,0,8,1,0,0,0,0.65625,0.5,1.0,8,0,8,0,0,0,8,0,0,0,4,0,1,3,0,0,0,0,0,31,4,0,0,0,0,2,0,5,1,4,0,0,0,0,12,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_11\task_A_4\Operator.java,chapter_11.task_A_4.Operator,class,0,2,2,0,3,1,0,1,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,1,0,1,1,1,0,0,0,0,9,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\semafors\Resour?eException.java,onlyTests.threads.semafors.Resour—,class,0,0,0,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\demons\SimpleThread.java,onlyTests.threads.demons.SimpleThread,class,0,1,1,0,4,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,1,0,4,1,0,0,0,2,0,0,0,8,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\SynchroRun.java,onlyTests.threads.synchron.SynchroRun,class,2,2,0,2,3,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,5,0,4,2,3,1,0,0,0,16,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_6\task_5\Model.java,chapter_6.task_5.Model,class,1,2,1,1,9,2,0,4,16,0.5,0.21428572,0.21428572,8,0,8,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0,31,1,0,0,0,0,2,0,2,1,1,1,0,0,0,16,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\bariers\Bid.java,onlyTests.threads.bariers.Bid,class,0,4,4,0,6,2,0,5,0,0.33333334,0.8333333,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,1,33,2,0,0,1,0,5,2,5,2,4,1,0,0,0,22,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_8\task_B_4\Entity\Tomato.java,chapter_8.task_B_4.Entity.Tomato,class,1,2,1,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,6,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\SyncThread.java,onlyTests.threads.synchron.SyncThread,class,1,2,1,1,3,2,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,13,0,1,0,0,0,1,3,2,0,2,1,0,0,0,9,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_6\task_5\SiemensMobile.java,chapter_6.task_5.SiemensMobile,class,1,3,2,1,6,1,1,1,8,0.70000005,0.1,0.1,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,23,2,1,0,0,0,4,0,4,1,3,1,0,0,0,17,1025,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\CellsComparator.java,chapter_10.task_B_13.CellsComparator,class,1,2,1,1,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,13,3,0,0,0,0,0,13,6,12,6,2,0,0,0,12,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\simpleBD\ConnectorDB.java,onlyTests.DB.simpleBD.ConnectorDB,class,0,1,1,0,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,4,0,4,0,4,0,0,0,0,15,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\Exceptions\FindStudent.java,onlyTests.Exceptions.FindStudent,class,1,2,1,1,6,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,2,2,0,0,0,1,1,5,0,5,2,0,0,0,14,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\runner.java,onlyTests.runner,class,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\atomic\Market.java,onlyTests.threads.atomic.Market,class,0,2,2,0,5,2,0,4,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,23,1,1,0,1,0,0,5,2,1,2,2,0,0,0,14,1,0
