file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Proyecto.java,com.sidlors.patterns.composition.Proyecto,"Proyecto/2[java.lang.String,com.sidlors.patterns.composition.Responsable]",true,10,1,6,6,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Proyecto.java,com.sidlors.patterns.composition.Proyecto,agregarItemProyecto/1[com.sidlors.patterns.composition.ItemProyecto],false,19,1,5,5,0,2,2,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,false
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\Proyecto.java,com.sidlors.patterns.composition.Proyecto,getNombre/0,false,15,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\patrones-master\05.1_FactoryMethod\src\main\java\mx\com\sidors\method\factory\app\App.java,mx.com.sidors.method.factory.app.App,main/1[java.lang.String[]],false,12,3,3,0,3,1,3,5,0,2,1,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,8,9,0,false
C:\patrones-master\16_Estrategia\src\main\java\mx\com\sidlors\patrones\strategy\estrategias\EnAireVeloz.java,mx.com.sidlors.patrones.strategy.estrategias.EnAireVeloz,moverse/0,false,6,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\patrones-master\01_Polimorfismo\src\test\java\com\sidlors\patterns\polimorfismo\test\Polimorfismo.java,com.sidlors.patterns.polimorfismo.test.Polimorfismo,setUp/0,false,15,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
C:\patrones-master\01_Polimorfismo\src\test\java\com\sidlors\patterns\polimorfismo\test\Polimorfismo.java,com.sidlors.patterns.polimorfismo.test.Polimorfismo,testname/0,false,20,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,false
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListaEnumerada.java,com.sidlors.patterns.bridge.ListaEnumerada,obtenerItem/1[int],false,5,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,3,1,0,false
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\abstracta\HeredaAbstracta.java,com.sidlors.patterns.polimorfismo.abstracta.HeredaAbstracta,darNombre/1[java.lang.String],false,23,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\abstracta\HeredaAbstracta.java,com.sidlors.patterns.polimorfismo.abstracta.HeredaAbstracta,despedirse/0,false,13,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,false
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\abstracta\HeredaAbstracta.java,com.sidlors.patterns.polimorfismo.abstracta.HeredaAbstracta,HeredaAbstracta/0,true,17,2,4,1,3,1,3,5,0,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\abstracta\HeredaAbstracta.java,com.sidlors.patterns.polimorfismo.abstracta.HeredaAbstracta,main/1[java.lang.String[]],false,27,1,1,0,1,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
C:\patrones-master\05.1_FactoryMethod\src\main\java\mx\com\sidors\method\factory\modelo\CRT.java,mx.com.sidors.method.factory.modelo.CRT,"CRT/3[java.lang.String,java.lang.String,java.lang.String]",true,5,0,1,1,0,1,3,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\subject\Sujeto.java,mx.com.sidlors.patrones.subject.Sujeto,registrarObs/1[mx.com.sidlors.patrones.observer.IObservador],false,20,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\subject\Sujeto.java,mx.com.sidlors.patrones.subject.Sujeto,retirarObs/1[mx.com.sidlors.patrones.observer.IObservador],false,28,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\subject\Sujeto.java,mx.com.sidlors.patrones.subject.Sujeto,notificar/0,false,42,1,2,1,1,2,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\subject\Sujeto.java,mx.com.sidlors.patrones.subject.Sujeto,Sujeto/0,true,12,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\subject\Sujeto.java,mx.com.sidlors.patrones.subject.Sujeto,"ejecutarAccion/2[java.lang.String,java.lang.String]",false,32,1,2,1,1,1,1,5,0,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\CajeroAutomatico.java,com.sidlors.patterns.template.CajeroAutomatico,"CajeroAutomatico/3[java.lang.String,int,int]",true,4,1,2,1,1,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\CajeroAutomatico.java,com.sidlors.patterns.template.CajeroAutomatico,saludar/0,false,9,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\Middle.java,com.sidlors.patterns.chain.Middle,getAyuda/1[int],false,11,1,1,0,1,2,2,8,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,14,1,0,false
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\Middle.java,com.sidlors.patterns.chain.Middle,Middle/1[com.sidlors.patterns.chain.InterfaceAyuda],true,6,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\CuentaBancaria.java,com.sidlors.patterns.template.CuentaBancaria,saludar/0,false,32,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1025,0,false
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\CuentaBancaria.java,com.sidlors.patterns.template.CuentaBancaria,consultarSaldo/0,false,24,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,0,false
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\CuentaBancaria.java,com.sidlors.patterns.template.CuentaBancaria,auditoria/0,false,28,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,4,0,false
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\CuentaBancaria.java,com.sidlors.patterns.template.CuentaBancaria,retirar/1[int],false,15,0,1,1,0,2,1,9,0,0,1,1,0,0,0,0,0,0,2,1,1,1,1,0,0,0,5,2,0,false
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\CuentaBancaria.java,com.sidlors.patterns.template.CuentaBancaria,consignar/1[int],false,10,0,1,1,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,false
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\CuentaBancaria.java,com.sidlors.patterns.template.CuentaBancaria,setCuenta/1[java.lang.String],false,6,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
C:\patrones-master\18_MetodoPlantilla\src\main\java\com\sidlors\patterns\template\CuentaBancaria.java,com.sidlors.patterns.template.CuentaBancaria,"procesar/3[java.lang.String,int,int]",false,34,1,9,3,6,3,7,16,0,0,3,7,6,1,0,0,0,0,1,2,0,0,1,0,0,0,13,1,0,false
C:\patrones-master\07.1_Proxy\src\main\java\mx\sidlors\pattern\proxy\ThirdPartyYoutubeLib.java,mx.sidlors.pattern.proxy.ThirdPartyYoutubeLib,popularVideos/0,false,7,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
