file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\Iterador.java,com.sidlors.patterns.iterator.Iterador,interface,0,3,3,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\patrones-master\02_Singleton\src\com\sidlors\singleton\Computadora.java,com.sidlors.singleton.Computadora,class,1,2,1,1,2,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,3,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListasBase.java,com.sidlors.patterns.bridge.ListasBase,class,1,4,3,1,5,1,2,4,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,18,2,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,innerclass,2,2,0,2,6,1,0,0,15,0.8333333,0.0,0.0,6,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,2,0,0,31,5,0,0,0,0,0,4,10,0,6,0,0,0,0,12,9,0
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\observer\Auditor.java,mx.com.sidlors.patrones.observer.Auditor,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8,1,0
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaNumerosIterador.java,com.sidlors.patterns.iterator.ListaNumerosIterador,class,2,3,1,2,5,1,0,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,19,3,0,1,0,0,0,2,2,0,2,1,0,0,0,11,1,0
C:\patrones-master\15_Estado\src\main\java\com\sidlors\patterns\state\Mantenimiento.java,com.sidlors.patterns.state.Mantenimiento,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,1,0
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\PruebaCompuesto.java,com.sidlors.patterns.composition.PruebaCompuesto,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,class,1,3,2,1,7,1,0,0,9,0.7142858,0.0,0.0,7,0,6,1,0,0,6,0,0,0,6,0,0,6,0,0,6,0,0,65,6,0,0,0,0,0,0,6,0,6,0,0,1,0,18,1,0
C:\patrones-master\05.1_FactoryMethod\src\main\java\mx\com\sidors\method\factory\modelo\TVBase.java,mx.com.sidors.method.factory.modelo.TVBase,class,0,7,7,0,7,1,3,0,3,0.5714286,0.42857143,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,26,4,0,0,0,0,3,0,3,1,3,0,0,0,0,18,1025,0
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaNumeros.java,com.sidlors.patterns.iterator.ListaNumeros,class,2,3,1,2,3,1,0,0,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,14,1,0,0,0,0,0,2,3,0,2,0,0,0,0,8,1,0
C:\patrones-master\09_Fachada\src\main\java\com\sidlors\patterns\facade\ClienteParaRedesSociales.java,com.sidlors.patterns.facade.ClienteParaRedesSociales,class,2,3,1,2,3,1,0,3,1,0.33333334,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,14,0,0,0,0,0,1,0,2,0,2,0,0,0,0,18,1,0
C:\patrones-master\05.1_FactoryMethod\src\test\java\mx\com\sidors\AppTest.java,mx.com.sidors.AppTest,class,7,8,1,7,3,2,0,5,3,0.6666667,0.0,0.0,3,1,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,15,1,0,0,0,0,4,0,3,0,3,0,0,0,0,38,1,0
C:\patrones-master\05_AbstractFactory\src\com\sidlors\abstracfactory\OracleConexion.java,com.sidlors.abstracfactory.OracleConexion,class,1,2,1,1,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
