file,class,method,variable,usage
C:\patrones-master\11_Comando\src\main\java\com\sidlors\patterns\comando\App.java,com.sidlors.patterns.comando.App,main/1[java.lang.String[]],control,0
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\observer\IObservador.java,mx.com.sidlors.patrones.observer.IObservador,"actualizar/2[java.lang.String,java.lang.String]",accion,0
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\observer\IObservador.java,mx.com.sidlors.patrones.observer.IObservador,"actualizar/2[java.lang.String,java.lang.String]",lugar,0
C:\patrones-master\15_Estado\src\main\java\com\sidlors\patterns\state\PruebaEstado.java,com.sidlors.patterns.state.PruebaEstado,muestraMenu/0,menu,5
C:\patrones-master\15_Estado\src\main\java\com\sidlors\patterns\state\PruebaEstado.java,com.sidlors.patterns.state.PruebaEstado,main/1[java.lang.String[]],args,0
C:\patrones-master\15_Estado\src\main\java\com\sidlors\patterns\state\PruebaEstado.java,com.sidlors.patterns.state.PruebaEstado,main/1[java.lang.String[]],sc,1
C:\patrones-master\15_Estado\src\main\java\com\sidlors\patterns\state\PruebaEstado.java,com.sidlors.patterns.state.PruebaEstado,main/1[java.lang.String[]],opcion,3
C:\patrones-master\15_Estado\src\main\java\com\sidlors\patterns\state\PruebaEstado.java,com.sidlors.patterns.state.PruebaEstado,main/1[java.lang.String[]],alarma,3
C:\patrones-master\15_Estado\src\main\java\com\sidlors\patterns\state\PruebaEstado.java,com.sidlors.patterns.state.PruebaEstado,main/1[java.lang.String[]],mantenimiento,1
C:\patrones-master\15_Estado\src\main\java\com\sidlors\patterns\state\PruebaEstado.java,com.sidlors.patterns.state.PruebaEstado,main/1[java.lang.String[]],activa,1
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListasBase.java,com.sidlors.patterns.bridge.ListasBase,removerItem/1[java.lang.String],item,1
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListasBase.java,com.sidlors.patterns.bridge.ListasBase,setImplementacion/1[com.sidlors.patterns.bridge.I_ImplLista],impl,1
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListasBase.java,com.sidlors.patterns.bridge.ListasBase,agregarItem/1[java.lang.String],item,1
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListasBase.java,com.sidlors.patterns.bridge.ListasBase,obtenerItem/1[int],index,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,"Builder/2[int,int]",servings,2
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,"Builder/2[int,int]",servingSize,2
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,calories/1[int],val,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,fat/1[int],val,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,sodium/1[int],val,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,carbohydrate/1[int],val,1
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\observer\Auditor.java,mx.com.sidlors.patrones.observer.Auditor,"actualizar/2[java.lang.String,java.lang.String]",a,1
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\observer\Auditor.java,mx.com.sidlors.patrones.observer.Auditor,"actualizar/2[java.lang.String,java.lang.String]",l,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaNumerosIterador.java,com.sidlors.patterns.iterator.ListaNumerosIterador,ListaNumerosIterador/1[int[]],num,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\PruebaCompuesto.java,com.sidlors.patterns.composition.PruebaCompuesto,main/1[java.lang.String[]],args,0
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\PruebaCompuesto.java,com.sidlors.patterns.composition.PruebaCompuesto,main/1[java.lang.String[]],pp,0
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,NutritionFacts/1[com.sidlors.builder.NutritionFacts.Builder],builder,6
C:\patrones-master\05.1_FactoryMethod\src\main\java\mx\com\sidors\method\factory\modelo\TVBase.java,mx.com.sidors.method.factory.modelo.TVBase,setColor/1[java.lang.String],color,2
C:\patrones-master\05.1_FactoryMethod\src\main\java\mx\com\sidors\method\factory\modelo\TVBase.java,mx.com.sidors.method.factory.modelo.TVBase,setDescripcion/1[java.lang.String],descripcion,2
C:\patrones-master\05.1_FactoryMethod\src\main\java\mx\com\sidors\method\factory\modelo\TVBase.java,mx.com.sidors.method.factory.modelo.TVBase,setTipoPantalla/1[java.lang.String],tipoPantalla,2
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaNumeros.java,com.sidlors.patterns.iterator.ListaNumeros,agregar/1[int],i,1
C:\patrones-master\09_Fachada\src\main\java\com\sidlors\patterns\facade\ClienteParaRedesSociales.java,com.sidlors.patterns.facade.ClienteParaRedesSociales,main/1[java.lang.String[]],args,0
C:\patrones-master\09_Fachada\src\main\java\com\sidlors\patterns\facade\ClienteParaRedesSociales.java,com.sidlors.patterns.facade.ClienteParaRedesSociales,main/1[java.lang.String[]],cprs,1
C:\patrones-master\05.1_FactoryMethod\src\test\java\mx\com\sidors\AppTest.java,mx.com.sidors.AppTest,AppTest/1[java.lang.String],testName,1
C:\patrones-master\05.1_FactoryMethod\src\test\java\mx\com\sidors\AppTest.java,mx.com.sidors.AppTest,testApp/0,tvMethod,1
C:\patrones-master\05.1_FactoryMethod\src\test\java\mx\com\sidors\AppTest.java,mx.com.sidors.AppTest,testApp/0,tv,2
C:\patrones-master\06_Prototype\src\main\java\com\sidlors\patterns\prototype\Persona.java,com.sidlors.patterns.prototype.Persona,Persona/1[java.lang.String],n,1
C:\patrones-master\06_Prototype\src\main\java\com\sidlors\patterns\prototype\Persona.java,com.sidlors.patterns.prototype.Persona,setNombre/1[java.lang.String],n,1
